                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8672,                 3.7058,                 4.2459,                0.00449,                      1,                0.01275,                0.00272,                 2.4847,                  3.766,                 4.1588,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.7588,                 3.7713,                 4.2057,                0.00458,                      1,                0.00798,                0.00257,                 2.4846,                  3.765,                 4.1587,              5.604e-05,              5.604e-05,              5.604e-05
                      3,                 3.0503,                 3.7454,                  4.243,                0.00457,                      1,                 0.0063,                0.00208,                 2.4844,                 3.7648,                 4.1584,               8.68e-05,               8.68e-05,               8.68e-05
                      4,                 2.7473,                 3.7587,                 4.2193,                0.00471,                      1,                0.00923,                0.00264,                 2.4842,                 3.7652,                 4.1581,             0.00011228,             0.00011228,             0.00011228
                      5,                 2.9573,                 3.6728,                 4.2326,                0.00451,                      1,                0.01373,                0.00359,                 2.4839,                 3.7663,                 4.1578,             0.00013248,             0.00013248,             0.00013248
                      6,                 2.5312,                  4.191,                 4.2781,                0.00459,                      1,                0.00734,                0.00228,                 2.4836,                 3.7677,                 4.1575,              0.0001474,              0.0001474,              0.0001474
                      7,                 2.4865,                  4.051,                 4.1911,                0.00463,                      1,                0.00731,                0.00223,                 2.4831,                 3.7689,                 4.1573,             0.00015704,             0.00015704,             0.00015704
                      8,                 2.4072,                 4.1655,                 4.2164,                0.00457,                      1,                0.00597,                0.00211,                 2.4826,                 3.7696,                 4.1571,              0.0001614,              0.0001614,              0.0001614
                      9,                 2.4124,                 4.1124,                 4.2324,                0.00447,                      1,                0.00625,                0.00208,                 2.4823,                 3.7698,                 4.1571,             0.00016048,             0.00016048,             0.00016048
                     10,                 2.1105,                 4.0152,                 4.2365,                0.00471,                      1,                0.00748,                0.00234,                 2.4817,                 3.7704,                 4.1571,             0.00015428,             0.00015428,             0.00015428
                     11,                 2.4775,                 4.1327,                 4.1815,                0.00468,                      1,                0.10174,                0.01165,                 2.4811,                 3.7709,                 4.1572,              0.0001428,              0.0001428,              0.0001428
                     12,                 2.2336,                 3.9636,                 4.2373,                0.00467,                      1,                0.05465,                0.00693,                 2.4804,                 3.7713,                 4.1573,             0.00012604,             0.00012604,             0.00012604
                     13,                 2.3145,                 4.0802,                 4.2423,                0.00467,                      1,                0.10179,                0.01167,                 2.4797,                  3.772,                 4.1575,               0.000104,               0.000104,               0.000104
                     14,                 2.3781,                 4.1459,                 4.2071,                0.00467,                      1,                0.02562,                0.00401,                  2.479,                 3.7726,                 4.1578,              7.668e-05,              7.668e-05,              7.668e-05
                     15,                 2.3435,                 4.0733,                 4.2049,                0.00464,                      1,                0.10094,                0.01157,                 2.4782,                 3.7733,                 4.1581,              4.408e-05,              4.408e-05,              4.408e-05
